query_id,kind,method,n,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,certified,certificate_false_positive
46,antijoin,ExactSQL,9000,2408,1.0,1,none,0.16826299997774186,2408,9000,9000,1,0
46,antijoin,PostFilter-SQL,9000,2408,0.9,0,ranking_truncation,0.06955300000299758,290,1239,1239,0,0
46,antijoin,PACER-A-SQL,9000,2408,1.0,1,none,1.339847000053851,1117,4800,4800,0,0
46,antijoin,PACER-X-SQL,9000,2408,1.0,1,none,2.1898180000334833,2408,9000,9000,1,0
47,mixed,ExactSQL,9000,1894,1.0,1,none,0.2060189999610884,1894,9000,9000,1,0
47,mixed,PostFilter-SQL,9000,1894,0.8,0,ranking_truncation,0.10252800007037877,218,1000,1000,0,0
47,mixed,PACER-A-SQL,9000,1894,0.9,0,ranking_truncation,1.3097399998969195,1024,4800,4800,0,0
47,mixed,PACER-X-SQL,9000,1894,1.0,1,none,2.2031230000720825,1894,9000,9000,1,0
48,dnf,ExactSQL,9000,424,1.0,1,none,0.0455230001534801,424,9000,9000,1,0
48,dnf,PostFilter-SQL,9000,424,0.9,0,ranking_truncation,0.04831399996874097,83,1400,1400,0,0
48,dnf,PACER-A-SQL,9000,424,1.0,1,none,1.1619860001701454,281,4800,4800,0,0
48,dnf,PACER-X-SQL,9000,424,1.0,1,none,1.8317349999961152,424,8671,8671,1,0
49,semijoin,ExactSQL,9000,279,1.0,1,none,0.04156100021646125,279,9000,9000,1,0
49,semijoin,PostFilter-SQL,9000,279,0.7,0,ranking_truncation,0.053916000069875736,26,1041,1041,0,0
49,semijoin,PACER-A-SQL,9000,279,0.9,0,ranking_truncation,1.195579000068392,125,4800,4800,0,0
49,semijoin,PACER-X-SQL,9000,279,1.0,1,none,1.7920089999279298,279,8739,8739,1,0
50,antijoin,ExactSQL,9000,2271,1.0,1,none,0.2552640000885731,2271,9000,9000,1,0
50,antijoin,PostFilter-SQL,9000,2271,1.0,1,none,0.06919300017216301,274,1084,1084,0,0
50,antijoin,PACER-A-SQL,9000,2271,1.0,1,none,1.3297840000632277,1223,4800,4800,0,0
50,antijoin,PACER-X-SQL,9000,2271,1.0,1,none,2.2227719998682005,2271,9000,9000,1,0
51,mixed,ExactSQL,9000,1826,1.0,1,none,0.18214900001112255,1826,9000,9000,1,0
51,mixed,PostFilter-SQL,9000,1826,0.7,0,ranking_truncation,0.10111400001733273,281,1158,1158,0,0
51,mixed,PACER-A-SQL,9000,1826,0.9,0,ranking_truncation,1.300134000075559,981,4800,4800,0,0
51,mixed,PACER-X-SQL,9000,1826,1.0,1,none,2.6106570001047658,1826,9000,9000,1,0
52,dnf,ExactSQL,9000,784,1.0,1,none,0.06767099989701819,784,9000,9000,1,0
52,dnf,PostFilter-SQL,9000,784,0.2,0,ranking_truncation,0.059454000165715115,102,1078,1078,0,0
52,dnf,PACER-A-SQL,9000,784,1.0,1,none,1.519070000085776,432,4800,4800,0,0
52,dnf,PACER-X-SQL,9000,784,1.0,1,none,2.3475579998830653,784,9000,9000,1,0
53,semijoin,ExactSQL,9000,256,1.0,1,none,0.05758399993283092,256,9000,9000,1,0
