seed,correlation,delete_rate,query_id,method,recall_at_k,secure_topk_exact,raw_candidates,latency_ms,violations,certified
11,positive,0.24,9,PACER-C,1.000000,1.000000,135.000,3.434310,0,1
11,positive,0.24,9,PACER-X,1.000000,1.000000,135.000,3.433701,0,1
11,positive,0.24,10,PostFilter-IVF,1.000000,1.000000,485.000,0.493550,0,0
11,positive,0.24,10,PreFilter-IVF,1.000000,1.000000,114.000,0.400912,0,0
11,positive,0.24,10,BitmapSlice-Exact,1.000000,1.000000,3.000,0.064304,0,1
11,positive,0.24,10,PACER-A,1.000000,1.000000,3.000,0.126804,0,1
11,positive,0.24,10,PACER-C,1.000000,1.000000,3.000,0.108234,0,1
11,positive,0.24,10,PACER-X,1.000000,1.000000,3.000,0.133044,0,1
11,positive,0.24,11,PostFilter-IVF,0.500000,0.000000,571.000,0.464066,0,0
11,positive,0.24,11,PreFilter-IVF,1.000000,1.000000,316.000,0.574630,0,0
11,positive,0.24,11,BitmapSlice-Exact,1.000000,1.000000,4.000,0.091223,0,1
11,positive,0.24,11,PACER-A,1.000000,1.000000,4.000,0.272088,0,1
11,positive,0.24,11,PACER-C,1.000000,1.000000,4.000,0.337139,0,1
11,positive,0.24,11,PACER-X,1.000000,1.000000,4.000,0.283932,0,1
11,positive,0.24,12,PostFilter-IVF,0.700000,0.000000,620.000,0.592065,0,0
11,positive,0.24,12,PreFilter-IVF,0.700000,0.000000,658.000,1.598260,0,0
11,positive,0.24,12,BitmapSlice-Exact,1.000000,1.000000,1681.000,2.645577,0,1
11,positive,0.24,12,PACER-A,0.800000,0.000000,700.000,2.666712,0,0
11,positive,0.24,12,PACER-C,1.000000,1.000000,1681.000,8.844174,0,1
11,positive,0.24,12,PACER-X,1.000000,1.000000,1681.000,7.134890,0,1
11,positive,0.24,13,PostFilter-IVF,0.600000,0.000000,640.000,0.549615,0,0
11,positive,0.24,13,PreFilter-IVF,0.700000,0.000000,595.000,0.897794,0,0
11,positive,0.24,13,BitmapSlice-Exact,1.000000,1.000000,108.000,0.197997,0,1
11,positive,0.24,13,PACER-A,1.000000,1.000000,108.000,2.692583,0,1
11,positive,0.24,13,PACER-C,1.000000,1.000000,108.000,2.997776,0,1
11,positive,0.24,13,PACER-X,1.000000,1.000000,108.000,3.506520,0,1
11,positive,0.24,14,PostFilter-IVF,0.333333,0.000000,600.000,0.532823,0,0
11,positive,0.24,14,PreFilter-IVF,1.000000,1.000000,208.000,0.573051,0,0
11,positive,0.24,14,BitmapSlice-Exact,1.000000,1.000000,3.000,0.111448,0,1
11,positive,0.24,14,PACER-A,1.000000,1.000000,3.000,0.438932,0,1
11,positive,0.24,14,PACER-C,1.000000,1.000000,3.000,0.337130,0,1
11,positive,0.24,14,PACER-X,1.000000,1.000000,3.000,0.231395,0,1
11,positive,0.24,15,PostFilter-IVF,1.000000,1.000000,664.000,0.573351,0,0
11,positive,0.24,15,PreFilter-IVF,1.000000,1.000000,114.000,0.457485,0,0
11,positive,0.24,15,BitmapSlice-Exact,1.000000,1.000000,1.000,0.052907,0,1
11,positive,0.24,15,PACER-A,1.000000,1.000000,1.000,0.145360,0,1
11,positive,0.24,15,PACER-C,1.000000,1.000000,1.000,0.143171,0,1
11,positive,0.24,15,PACER-X,1.000000,1.000000,1.000,0.105380,0,1
11,independent,0.0,0,PostFilter-IVF,0.800000,0.000000,536.000,0.651139,0,0
11,independent,0.0,0,PreFilter-IVF,0.900000,0.000000,541.000,1.582384,0,0
11,independent,0.0,0,BitmapSlice-Exact,1.000000,1.000000,1774.000,2.382099,0,1
11,independent,0.0,0,PACER-A,1.000000,1.000000,700.000,2.263964,0,0
11,independent,0.0,0,PACER-C,1.000000,1.000000,1774.000,7.402284,0,1
11,independent,0.0,0,PACER-X,1.000000,1.000000,1774.000,5.699467,0,1
11,independent,0.0,1,PostFilter-IVF,0.600000,0.000000,526.000,0.512915,0,0
11,independent,0.0,1,PreFilter-IVF,0.800000,0.000000,657.000,1.051065,0,0
11,independent,0.0,1,BitmapSlice-Exact,1.000000,1.000000,105.000,0.214125,0,1
11,independent,0.0,1,PACER-A,1.000000,1.000000,105.000,3.159003,0,1
11,independent,0.0,1,PACER-C,1.000000,1.000000,105.000,3.067276,0,1
11,independent,0.0,1,PACER-X,1.000000,1.000000,105.000,3.202417,0,1
11,independent,0.0,2,PostFilter-IVF,0.000000,0.000000,628.000,0.741934,0,0
11,independent,0.0,2,PreFilter-IVF,1.000000,1.000000,147.000,0.474210,0,0
11,independent,0.0,2,BitmapSlice-Exact,1.000000,1.000000,4.000,0.072932,0,1
11,independent,0.0,2,PACER-A,1.000000,1.000000,4.000,0.265011,0,1
11,independent,0.0,2,PACER-C,1.000000,1.000000,4.000,0.182974,0,1
11,independent,0.0,2,PACER-X,1.000000,1.000000,4.000,0.195427,0,1
11,independent,0.0,3,PostFilter-IVF,0.000000,0.000000,566.000,0.540131,0,0
11,independent,0.0,3,PreFilter-IVF,1.000000,1.000000,85.000,0.448392,0,0
11,independent,0.0,3,BitmapSlice-Exact,1.000000,1.000000,1.000,0.054254,0,1
11,independent,0.0,3,PACER-A,1.000000,1.000000,1.000,0.218317,0,1
11,independent,0.0,3,PACER-C,1.000000,1.000000,1.000,0.168938,0,1
11,independent,0.0,3,PACER-X,1.000000,1.000000,1.000,0.122429,0,1
11,independent,0.0,4,PostFilter-IVF,0.500000,0.000000,593.000,0.491667,0,0
11,independent,0.0,4,PreFilter-IVF,0.500000,0.000000,598.000,1.840711,0,0
11,independent,0.0,4,BitmapSlice-Exact,1.000000,1.000000,1768.000,1.954844,0,1
11,independent,0.0,4,PACER-A,0.600000,0.000000,700.000,2.340404,0,0
11,independent,0.0,4,PACER-C,1.000000,1.000000,1768.000,5.569167,0,1
11,independent,0.0,4,PACER-X,1.000000,1.000000,1768.000,6.514825,0,1
11,independent,0.0,5,PostFilter-IVF,0.600000,0.000000,533.000,0.588151,0,0
11,independent,0.0,5,PreFilter-IVF,0.700000,0.000000,651.000,1.107851,0,0
11,independent,0.0,5,BitmapSlice-Exact,1.000000,1.000000,83.000,0.301569,0,1
11,independent,0.0,5,PACER-A,1.000000,1.000000,83.000,3.101071,0,1
11,independent,0.0,5,PACER-C,1.000000,1.000000,83.000,2.878043,0,1
