query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
28,range,PACER-A-SQL-AST,9000,64,749,0.8,0,ranking_truncation,4.490950000217708,341,4800,4800,34,0,0,0
28,range,PACER-X-SQL-AST,9000,64,749,1.0,1,none,8.376400000088324,749,9000,9000,64,1,0,0
29,mixed,ExactSQL-AST,9000,64,1876,1.0,1,none,0.789191000876599,1876,9000,9000,0,1,0,0
29,mixed,PostFilter-SQL-AST,9000,64,1876,0.5,0,ranking_truncation,0.25602899950172286,154,1102,1102,8,0,0,0
29,mixed,PACER-A-SQL-AST,9000,64,1876,1.0,1,none,4.65655300013168,914,4800,4800,31,0,0,0
29,mixed,PACER-X-SQL-AST,9000,64,1876,1.0,1,none,8.676457000547089,1876,9000,9000,64,1,0,0
30,dnf,ExactSQL-AST,9000,64,394,1.0,1,none,1.1122309997517732,394,9000,9000,0,1,0,0
30,dnf,PostFilter-SQL-AST,9000,64,394,0.6,0,ranking_truncation,0.33141099993372336,48,1353,1353,8,0,0,0
30,dnf,PACER-A-SQL-AST,9000,64,394,0.9,0,ranking_truncation,9.694803999991564,186,4800,4800,32,0,0,0
30,dnf,PACER-X-SQL-AST,9000,64,394,1.0,1,none,22.89174700035801,394,9000,9000,64,1,0,0
31,semijoin,ExactSQL-AST,9000,64,181,1.0,1,none,0.255488999755471,181,9000,9000,0,1,0,0
31,semijoin,PostFilter-SQL-AST,9000,64,181,0.8,0,ranking_truncation,0.16302099993481534,44,1228,1228,8,0,0,0
31,semijoin,PACER-A-SQL-AST,9000,64,181,1.0,1,none,4.499783000028401,104,4800,4800,33,0,0,0
31,semijoin,PACER-X-SQL-AST,9000,64,181,1.0,1,none,7.284536000042863,181,9000,9000,64,1,0,0
32,antijoin,ExactSQL-AST,9000,64,1956,1.0,1,none,0.6836849997853278,1956,9000,9000,0,1,0,0
32,antijoin,PostFilter-SQL-AST,9000,64,1956,1.0,1,none,0.2999179996550083,291,1243,1243,8,0,0,0
32,antijoin,PACER-A-SQL-AST,9000,64,1956,1.0,1,none,5.492803999914031,988,4800,4800,34,0,0,0
32,antijoin,PACER-X-SQL-AST,9000,64,1956,1.0,1,none,11.968504999458673,1956,9000,9000,64,1,0,0
33,range,ExactSQL-AST,9000,64,519,1.0,1,none,0.48243400033243233,519,9000,9000,0,1,0,0
33,range,PostFilter-SQL-AST,9000,64,519,0.2,0,ranking_truncation,0.2626109999255277,27,1093,1093,8,0,0,0
33,range,PACER-A-SQL-AST,9000,64,519,0.8,0,ranking_truncation,4.352418999587826,245,4800,4800,34,0,0,0
33,range,PACER-X-SQL-AST,9000,64,519,1.0,1,none,7.5733589992523775,519,9000,9000,64,1,0,0
34,mixed,ExactSQL-AST,9000,64,2100,1.0,1,none,0.540832999831764,2100,9000,9000,0,1,0,0
34,mixed,PostFilter-SQL-AST,9000,64,2100,0.7,0,ranking_truncation,0.24669499998708488,208,1006,1006,8,0,0,0
34,mixed,PACER-A-SQL-AST,9000,64,2100,0.9,0,ranking_truncation,5.188097999962338,1133,4800,4800,36,0,0,0
34,mixed,PACER-X-SQL-AST,9000,64,2100,1.0,1,none,8.598431999416789,2100,9000,9000,64,1,0,0
35,dnf,ExactSQL-AST,9000,64,420,1.0,1,none,0.6519659991681692,420,9000,9000,0,1,0,0
35,dnf,PostFilter-SQL-AST,9000,64,420,0.8,0,ranking_truncation,0.3789849997701822,48,1087,1087,8,0,0,0
35,dnf,PACER-A-SQL-AST,9000,64,420,0.9,0,ranking_truncation,9.004045999972732,210,4800,4800,35,0,0,0
35,dnf,PACER-X-SQL-AST,9000,64,420,1.0,1,none,14.086463999774423,420,9000,9000,64,1,0,0
36,semijoin,ExactSQL-AST,9000,64,210,1.0,1,none,0.3136970008199569,210,9000,9000,0,1,0,0
36,semijoin,PostFilter-SQL-AST,9000,64,210,0.2,0,candidate_starvation,0.16359299934265437,9,854,854,8,0,0,0
36,semijoin,PACER-A-SQL-AST,9000,64,210,0.9,0,ranking_truncation,3.955675000725023,105,4800,4800,36,0,0,0
36,semijoin,PACER-X-SQL-AST,9000,64,210,1.0,1,none,7.207922000816325,210,9000,9000,64,1,0,0
37,antijoin,ExactSQL-AST,9000,64,2007,1.0,1,none,0.6381160001183162,2007,9000,9000,0,1,0,0
37,antijoin,PostFilter-SQL-AST,9000,64,2007,1.0,1,none,0.2529379999032244,283,973,973,8,0,0,0
37,antijoin,PACER-A-SQL-AST,9000,64,2007,1.0,1,none,5.538524000257894,1071,4800,4800,32,0,0,0
37,antijoin,PACER-X-SQL-AST,9000,64,2007,1.0,1,none,10.15759199981403,2007,9000,9000,64,1,0,0
38,range,ExactSQL-AST,9000,64,834,1.0,1,none,0.3519809997669654,834,9000,9000,0,1,0,0
38,range,PostFilter-SQL-AST,9000,64,834,0.9,0,ranking_truncation,0.1745669997035293,126,1152,1152,8,0,0,0
38,range,PACER-A-SQL-AST,9000,64,834,1.0,1,none,3.823069999270956,369,4800,4800,33,0,0,0
38,range,PACER-X-SQL-AST,9000,64,834,1.0,1,none,8.46523500058538,834,9000,9000,64,1,0,0
