query_id,method,recall_at_k,secure_topk_exact,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,policy_checks,certified
38,ExactSecure,1.0,1,0,0,0,8.17935499981104,12000,12000,1
38,BitmapSlice-Exact,1.0,1,0,0,0,0.23378499986392853,43,43,1
38,PostFilter-IVF,0.2,0,0,0,0,1.6773329998613917,1774,1774,0
38,PreFilter-IVF,0.7,0,0,0,0,42.44727599984799,1335,1335,0
38,PACER-A,1.0,1,0,0,0,1.988400000072943,43,43,1
38,PACER-X,1.0,1,0,0,0,1.8909099999291357,43,43,1
39,ExactSecure,1.0,1,0,0,0,7.212349999917933,12000,12000,1
39,BitmapSlice-Exact,1.0,1,0,0,0,0.2924190000612725,79,79,1
39,PostFilter-IVF,0.5,0,0,0,0,1.178737000145702,1278,1278,0
39,PreFilter-IVF,0.9,0,0,0,0,32.71485899995241,1575,1575,0
39,PACER-A,1.0,1,0,0,0,3.239523000047484,79,79,1
39,PACER-X,1.0,1,0,0,0,3.1771179999395827,79,79,1
40,ExactSecure,1.0,1,0,0,0,9.051243000158138,12000,12000,1
40,BitmapSlice-Exact,1.0,1,0,0,0,0.37345600003391155,49,49,1
40,PostFilter-IVF,1.0,1,0,0,0,1.4959459999772662,1330,1330,0
40,PreFilter-IVF,1.0,1,0,0,0,57.028460000083214,1646,1646,0
40,PACER-A,1.0,1,0,0,0,2.5868910001918266,49,49,1
40,PACER-X,1.0,1,0,0,0,2.3079350000898557,49,49,1
41,ExactSecure,1.0,1,0,0,0,8.235051999918142,12000,12000,1
41,BitmapSlice-Exact,1.0,1,0,0,0,0.1904779999222228,21,21,1
41,PostFilter-IVF,0.4,0,0,0,0,1.4465279998603364,1519,1519,0
41,PreFilter-IVF,0.7,0,0,0,0,33.230988000013895,1530,1530,0
41,PACER-A,1.0,1,0,0,0,1.386785000022428,21,21,1
41,PACER-X,1.0,1,0,0,0,1.483172000007471,21,21,1
42,ExactSecure,1.0,1,0,0,0,7.458236000047691,12000,12000,1
42,BitmapSlice-Exact,1.0,1,0,0,0,0.18298899999535934,23,23,1
42,PostFilter-IVF,0.1,0,0,0,0,1.0513310000987985,1192,1192,0
42,PreFilter-IVF,0.7,0,0,0,0,43.22567199983496,1703,1703,0
42,PACER-A,1.0,1,0,0,0,2.3493149999467278,23,23,1
42,PACER-X,1.0,1,0,0,0,2.0406959999945684,23,23,1
43,ExactSecure,1.0,1,0,0,0,10.933819000001677,12000,12000,1
43,BitmapSlice-Exact,1.0,1,0,0,0,0.38503899986608303,59,59,1
43,PostFilter-IVF,0.3,0,0,0,0,2.297383000041009,1780,1780,0
43,PreFilter-IVF,0.8,0,0,0,0,39.75794000007227,1695,1695,0
43,PACER-A,1.0,1,0,0,0,2.5255440000364615,59,59,1
43,PACER-X,1.0,1,0,0,0,2.1357670000270446,59,59,1
44,ExactSecure,1.0,1,0,0,0,6.732075000172699,12000,12000,1
44,BitmapSlice-Exact,1.0,1,0,0,0,0.23707200011813256,36,36,1
44,PostFilter-IVF,0.6,0,0,0,0,1.5217430000120657,1673,1673,0
44,PreFilter-IVF,0.8,0,0,0,0,19.17040199987241,1806,1806,0
44,PACER-A,1.0,1,0,0,0,2.220054999952481,36,36,1
44,PACER-X,1.0,1,0,0,0,2.139349000117363,36,36,1
45,ExactSecure,1.0,1,0,0,0,11.121097999875929,12000,12000,1
45,BitmapSlice-Exact,1.0,1,0,0,0,0.29633799999828625,42,42,1
45,PostFilter-IVF,0.3,0,0,0,0,1.8616059999203571,1459,1459,0
45,PreFilter-IVF,0.9,0,0,0,0,22.433314999943832,1680,1680,0
45,PACER-A,1.0,1,0,0,0,1.9696350000231178,42,42,1
45,PACER-X,1.0,1,0,0,0,2.298352000025261,42,42,1
46,ExactSecure,1.0,1,0,0,0,6.5939040000557725,12000,12000,1
46,BitmapSlice-Exact,1.0,1,0,0,0,0.17361799996251648,19,19,1
46,PostFilter-IVF,0.5,0,0,0,0,1.3382800000272255,1655,1655,0
46,PreFilter-IVF,1.0,1,0,0,0,40.0406070000372,1835,1835,0
46,PACER-A,1.0,1,0,0,0,1.381106000053478,19,19,1
46,PACER-X,1.0,1,0,0,0,1.5162309998686396,19,19,1
47,ExactSecure,1.0,1,0,0,0,7.859871999926327,12000,12000,1
47,BitmapSlice-Exact,1.0,1,0,0,0,0.23656699977436801,48,48,1
47,PostFilter-IVF,0.5,0,0,0,0,1.5353809999396617,1622,1622,0
47,PreFilter-IVF,0.7,0,0,0,0,24.776999999858162,1658,1658,0
47,PACER-A,1.0,1,0,0,0,2.7994639999633364,48,48,1
47,PACER-X,1.0,1,0,0,0,2.932286000032036,48,48,1
