epoch,query_id,method,base_rows,delta_rows,visible_rows,inserted_since_compaction,tombstones_to_date,recall_at_k,secure_topk_exact,raw_checks,rebuild_ms,policy_violations,epoch_violations
4,16,BaseOnly-Stale,7444,939,7940,939,443,0.8,0,3182,0.0,0,0
4,16,DeltaPACER,7444,939,7940,939,443,1.0,1,4121,0.0,0,0
4,16,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3574,141.9793740001296,0,0
4,17,BaseOnly-Stale,7444,939,7940,939,443,0.8,0,165,0.0,0,0
4,17,DeltaPACER,7444,939,7940,939,443,1.0,1,1104,0.0,0,0
4,17,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,191,141.9793740001296,0,0
4,18,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,2,0.0,0,0
4,18,DeltaPACER,7444,939,7940,939,443,1.0,1,941,0.0,0,0
4,18,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,2,141.9793740001296,0,0
4,19,BaseOnly-Stale,7444,939,7940,939,443,0.5,0,1,0.0,0,0
4,19,DeltaPACER,7444,939,7940,939,443,1.0,1,940,0.0,0,0
4,19,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,2,141.9793740001296,0,0
5,0,BaseOnly-Stale,7444,1780,8551,1780,673,0.9,0,2805,0.0,0,0
5,0,DeltaPACER,7444,1780,8551,1780,673,1.0,1,4585,0.0,0,0
5,0,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3513,125.68965299988122,0,0
5,1,BaseOnly-Stale,7444,1780,8551,1780,673,0.8,0,221,0.0,0,0
5,1,DeltaPACER,7444,1780,8551,1780,673,1.0,1,2001,0.0,0,0
5,1,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,278,125.68965299988122,0,0
5,2,BaseOnly-Stale,7444,1780,8551,1780,673,0.9,0,10,0.0,0,0
5,2,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1790,0.0,0,0
5,2,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,11,125.68965299988122,0,0
5,3,BaseOnly-Stale,7444,1780,8551,1780,673,0.6666666666666666,0,2,0.0,0,0
